Designator,Footprint,Quantity,Value,LCSC Part #
C1,R_0805,1,4.7n, C597300
F1,F_0805,1,Polyfuse_Small, C261942
J1,HRO-TYPE-C-31-M-12,1,TYPE-C-31-M-12, C165948
J3,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,C69152
"R1, R2",R_0805,2,5.1k, C212411
U1,USBLC6-2SC6,1,USBLC6-2SC6, C7519
