Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",R_0805,2,4.7n,C21217
"F1, F2",F_0805,2,Polyfuse_Small,C261942
"J1, J3",HRO-TYPE-C-31-M-12,2,TYPE-C-31-M-12,C165948
J2,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,C265068
J4,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,1,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,C265104
"R1, R2, R3, R4",R_0805,4,5.1k,C212411
"U1, U2",USBLC6-2SC6,2,USBLC6-2SC6,C7519
